roaster_slug,name,city,state,lat,lng,website,shop_url,platform,rating,rating_count,logo_url,tagline,about_blurb,founding_year,sourcing_regions,specialties,social_links,verification_class,enrichment_flags,cataloged_at
ainmane-coffee,Ainmane Coffee,Sakleshpur,Karnataka,0,0,https://ainmane.com,https://www.ainmane.com/coffee.html,Custom,,,https://www.ainmane.com/pub/media/logo/stores/1/logo.png,,"With love from the highlands of Coorg, We bring to you our legacy of flavours. Coorg has a rich and vibrant culture that is unique and fascinating. Of the many things typically Coorg, its cuisine plays a crucial part in reminding us of its glorious heritage. At AinMané, we aim to carry this legacy forward by bringing to you the best collection of food products from the highlands of Coorg & Western Ghats. Through significant collaboration with like-minded coffee growers, beekeepers and other agriculturists, we have made sure that each and every product is 100% genuine, like they have always been in the homes of Coorg.",,Coorg,"single-origin, organic, specialty-grade","instagram: https://www.instagram.com/ainmane/, facebook: https://www.facebook.com/AinmaneCoorg",VERIFIED,"missing_tagline, missing_founding_year",2026-04-02T17:50:26Z
bili-hu-coffee,Bili Hu Coffee,Noida,Uttar Pradesh,0,0,https://bilihu.in,https://bilihu.in/pages/coffee-shop,Shopify,,,http://bilihu.in/cdn/shop/files/Bili_Hu_coffee_Logo_page-0001.jpg?crop=center&height=1200&v=1737574769&width=1200,"Buy specialty coffee from Bili Hu, trusted coffee bean roasters delivering fresh Indian coffee, freshly ground coffee for home, and premium blends for coffee lovers.","Just ask The Oberoi, Taj, Porsche and other esteemed establishments who picked Bili Hufrom a competitive and crowded market.What’s the secret? Nuance.We work with some of the best coffee planters in India every step of the way so thatthe coffee that reaches shelves, kitchens, and cups, is really the best. A perfect cup of coffee is one of life’s great luxuries. And it starts from the beans. Ours come from one of the most bio-diverse regions in the world,Chikmagalur, a five hour drive from Bangalore well known for its world class coffee plantations. But that’s just the start. Every lot is scanned via UV rays to ensure defects are absolutely at the bare minimum - if at all. To preserve the coffee’s natural flavours, each batch is meticulously roasted to bring out nuances treating it like it were wine or whiskey. There are no machines at the time of harvest either, which means each cherry is picked and sorted by hand. The attention to detail at every step of the way is obvious from the first sip.There's nothing else quite like Bili Hu.",,Chikmagalur,specialty-grade,"instagram: https://www.instagram.com/bili.hu.coffee/, youtube: https://www.youtube.com/embed/",VERIFIED,missing_founding_year,2026-04-02T17:50:26Z
black-baza-coffee,Black Baza Coffee,Bengaluru,Karnataka,0,0,https://blackbazacoffee.com,https://blackbazacoffee.com/collections/all,Shopify,,,http://www.blackbazacoffee.com/cdn/shop/files/Web_Preview_BlackBazaCoffee_V1.png?v=1773993701,,"At Black Baza, we envision a world where coffee is grown in harmony with both people and nature. The philosophy behind our ‘1000 Year Brew’ embodies this vision — a long-term approach that underpins our grassroots actions, scientific research, and business model. By taking the long view, we believe we’re laying the foundation for a producer-led sustainability model, where biodiversity, local ecosystems, and community well-being are central to every decision we make. But the concept of a ‘1000 Year Brew’ can go beyond coffee. It’s also about nurturing a deeper, more immersive coffee culture, one that embraces a fuller understanding of flavour! Black Baza Coffee began, quite unintentionally, as a question during Arshiya’s PhD:Why do so many sustainability certifications fail to bring about real change?Her research revealed that most certifications were limited in reach, top-down in design, and rarely addressed the deeper issues of power, livelihoods, and biodiversity. So the idea was simple — to build something better. A system rooted in trust, fairness, and ecological integrity. A true alternative to certification.",,BR Hills,"small-batch, single-origin, organic, fair-trade, specialty-grade, sustainability","instagram: https://www.instagram.com/blackbazacoffee/, twitter: https://x.com/blackbazacoffee, facebook: https://www.facebook.com/blackbazacoffee/, youtube: https://www.youtube.com/@kaadinamakkalu",VERIFIED,"missing_tagline, missing_founding_year",2026-04-02T17:50:26Z
blue-tokai-coffee-roasters,Blue Tokai Coffee Roasters,New Delhi,Delhi,0,0,https://bluetokaicoffee.com,https://bluetokaicoffee.com/collections/roasted-and-ground-coffee-beans,Shopify,,,http://bluetokaicoffee.com/cdn/shop/files/og-image_fb86e907-95f5-4bce-a80f-c940e284474d.jpg?v=1692794605,"Blue Tokai Coffee brings you fresh single estate 100% Arabica coffee beans, roasted with care, from the best farms across India. Order yours online now!","Our mission since we started has stayed simple: introduce our customers to the estates we directly buy our great tasting coffee from, roast the beans with care, and make high quality coffee more accessible through our cafes and our website. The coffee we roast is the coffee we like to drink, and we hope you like it too. At Blue Tokai Coffee Roasters, we follow a simple set of beliefs. The first thing we did when we started our company was to highlight our award winning farms. This idea of transparency organically evolved to the way we worked in other areas too - our baristas are always present to discuss brewing tips, our customer service team are there to walk you through your coffee questions, and our roasting team to show you how they work.",,,"single-origin, estate-grown, specialty-grade","instagram: https://www.instagram.com/bluetokaicoffee/, twitter: https://twitter.com/bluetokaicoffee, facebook: https://www.facebook.com/bluetokaicoffee/",VERIFIED,"missing_founding_year, missing_sourcing_regions",2026-04-02T17:50:26Z
bombay-island-coffee-company,Bombay Island Coffee Company,Mumbai,Maharashtra,0,0,https://bombayisland.com,https://bombayisland.com/collections/taster-packs,Shopify,,,https://www.bombayisland.com/cdn/shop/files/12.png?v=1758620124&width=250,,"Bombay Island Coffee Company is an artisanal Coffee Company  born out of boundless passionfor coffee founded by Rupal Jain with a mission to provide high quality coffee to all coffee lovers across the globe through our cafes and online supplies.  We are part by the Third Wave Coffee Movement which has redefined the ideas around sourcing, roasting & brewing coffee. We source the finest quality coffee beans and custom roast them on our beautiful roaster especially for you. Our coffees are proudly grown in India reflecting our tradition, nature andthe story of our culture. We source coffees from award winning estates of chikmagalur, karnataka. We roast our coffees in small batches in our micro-roaster probat. Our craft roasted coffee will indulge you in the essence of Indian soil, so that you can enjoy the aromatic experience of the Indian beans with each sip. Carving the niche of every individual, we recreate the ideal bean to cup stories, leaving a sense of cultural mystery in the air. We are dedicated to provide you a unique & enriching experiencein your cup of black gold that satisfies your soul. In the entire journey from crop to cup we believe in maintaining keen focus on standards & excellence. Our methods for selection of green beans and technology for roasting them makes our coffee one of its kind. We follow the standards set by specialty coffee association in every stage of coffee making.",,Chikmagalur,"small-batch, specialty-grade","instagram: https://www.instagram.com/p/, twitter: https://twitter.com/BombayIsland, facebook: https://www.facebook.com/Bombayisland",VERIFIED,"missing_tagline, missing_founding_year",2026-04-02T17:50:26Z
coffeeverse,Coffeeverse,Ahmedabad,Gujarat,0,0,https://coffeeverse.in,https://coffeeverse.in/collections/shop-all,Shopify,,,http://coffeeverse.in/cdn/shop/files/coffeeverse.webp?v=1761739617,,"Coffeeverse is a coffee roasting and brewing company, sourcing beans from the finest estates. We are bold, knowledgeable, and modern, blending education with lifestyle. Coffeeverse is not an attempt to make specialty coffee “cooler” or “hip”, it is only a representation of the coffee community and their lifestyle choices. For us Coffee isn’t just a product—it’s a culture, a craft, and a statement.Coffeeverse is the ultimate destination for all things coffee, crafted to bring the universe of speciality coffee right to your fingertips. With each pack of coffee that we ship, our goal is to provide a transparent farm to cup journey.  Dive into an extraordinary coffee adventure with our handpicked selection of Coffeeverse's premium beans! Plus, discover top-notch brewing equipment that meet international standards, crafted for everyone from curious newcomers to seasoned connoisseurs, making it perfect for elevating your own coffee experience. Our coffee journey starts in the lush hills of Chikmagalur, Karnataka, and stretches all the way to the Nilgiris in Tamil Nadu. Along the way, we work with some of the best coffee farms and passionate farmers who pour their heart into every lot they process. It’s the journey that keeps us focused and reminds us to always respect the hard work behind every coffee bean.",,"Ethiopia, Colombia, Chikmagalur, Nilgiris, Nilgiri","small-batch, single-origin, specialty-grade","instagram: https://www.instagram.com/coffeeverse.in/, facebook: https://www.facebook.com/people/, youtube: https://www.youtube.com/@coffeeverse_in",VERIFIED,"missing_tagline, missing_founding_year",2026-04-02T17:50:26Z
deomali-coffee-roastery,Deomali Coffee & Roastery,Bhubaneswar,Odisha,0,0,https://deomalicoffee.in,https://deomalicoffee.in/why-deomali-coffee/,WooCommerce,,,https://deomalicoffee.in/wp-content/uploads/2025/03/cropped-deomali-coffee-favicon-180x180.png,,"Our MissionTo deliver premium, ethically sourced coffee while empowering local communities and promoting sustainable agriculture. We aim to create a warm and inviting coffee culture that connects people over a shared love for authentic flavors. To establish Deomali Coffee as a leading specialty coffee brand, recognized across India and globally for its commitment to quality, sustainability, and innovation in the coffee industry. Expanding Nationwide – Bringing Koraput coffee to every major city.Empowering Farmers – Strengthening livelihoods through fair trade & ethical sourcing.Innovating with Every Brew – Blending tradition with modern café culture.",,"Koraput, Vietnam","single-origin, direct-trade, sustainability",facebook: https://www.facebook.com/Deomalicoffee,VERIFIED,"missing_tagline, missing_founding_year",2026-04-02T17:50:26Z
halli-berri-coffee,Halli Berri Coffee,Chikmagalur,Karnataka,0,0,https://halliberri.com,https://halliberri.com/coffee/,WooCommerce,,,https://halliberri.com/wp-content/uploads/2021/05/cropped-favicon-01-180x180.png,"Boutique cottages in a serene coffee estate in Chikmagalur. Experience plantation stays, nature trails, and farm-fresh dining near Baba Budangiri.",After my father passed on; My mother was determined to build ourselves into a success story without having to sell our lands. She and Ihave together worked tirelessly to create Halli Berri into what it is today. This is why this landscape has been sacred. We are on a mission to keep our community and village alive. Running the plantations with my sisters keeps us together as a family and building thebrand from the ground up emulates more than just business. It’sbeen an ’emotion’ and more! Halli Berri is a diversified conscious living homegrown brand that has its roots deep in the jungle canopies of the western ghats in India. Today the company focuses on building par excellence produce through the natural goodness derived from the conscious responsible co existence with nature.,,"Chikmagalur, Coorg, Baba Budan, Chikkamagaluru",,,VERIFIED,"missing_social, missing_founding_year",2026-04-02T17:50:26Z
leo-coffee,Leo Coffee,Chennai,Tamil Nadu,0,0,https://leocoffee.co.in,https://leocoffee.co.in/collections/pure-coffee-blends,Shopify,,,https://www.leocoffee.co.in/cdn/shop/files/Leo-Coffee-Grind-Daily.png?v=1684406164,,"Our philosophy exemplified by our traditions to dispatch only the freshest coffee to our customers reflects our constant strive for perfection.Passionate dedication and unrelenting efforts by every member of the Leo family is what enriched our legacy. Leo Coffee was founded in 1910 by PRK Nadar, the enterprising pioneer of coffee plantations. He gave the coffee-loving South Indians the gift of Leo Coffee.He set exceedingly high standards for cultivation and worked tirelessly with a dedicated team of skilled growers. Our association with uncompromising quality started with him. Times change but our values don’t. With decades of experience, we have gathered enough knowledge to pick up all the nuances of coffee cultivation, selective picking, processing, and blending. In this way, we continue to conserve the legacy passed on to us, the results of which can be seen and tasted in every single bean.",1910,,,"instagram: https://www.instagram.com/leocoffeeindia/, twitter: https://twitter.com/LeoCoffeeGroup, facebook: https://www.facebook.com/leocoffeeindia, youtube: https://www.youtube.com/channel/",VERIFIED,"missing_tagline, missing_sourcing_regions",2026-04-02T17:50:26Z
marcs-coffees-coffee-ideas,Marc's Coffees / Coffee Ideas,Auroville,Tamil Nadu,0,0,https://coffeeideas.in,https://coffeeideas.in/product/our-coffees/limited-edition/ratna-raga-competition-lot/,WooCommerce,,,https://coffeeideas.in/media/2025/10/cropped-logo--180x180.png,Explore the best specialty coffee India has to offer. Marc's single origin beans from Auroville — shop online or visit our café in Pondicherry.,,,"Chikmagalur, Coorg, Araku","single-origin, specialty-grade","instagram: https://www.instagram.com/coffeeideas_formermarcscoffees/, facebook: https://www.facebook.com/coffeeideascafestore/, youtube: https://www.youtube.com/@coffeeideas",VERIFIED,"missing_about, missing_founding_year",2026-04-02T17:50:26Z
